id;Arus (Ampere);Tegangan (Volt);gardu
117;156.8;49.6;3
118;65.0;59.2;3
119;41.6;187.0;3
120;69.7;190.4;3
121;94.1;149.4;3
122;5.4;166.7;3
123;99.0;183.7;3
124;26.4;173.9;3
125;76.5;6.4;3
126;63.0;52.4;3
127;94.8;170.7;3
128;102.3;60.2;3
129;191.3;121.3;3
130;137.0;36.1;3
131;7.3;100.3;3
132;175.8;26.4;3
133;193.8;69.2;3
134;132.7;55.2;3
135;181.0;157.8;3
136;7.9;196.2;3
137;141.6;148.0;3
138;150.6;108.5;3
139;195.5;175.2;3
140;184.4;91.1;3
141;63.4;181.1;3
142;117.1;128.4;3
143;0.9;179.8;3
144;89.0;78.2;3
145;27.7;89.6;3
146;79.2;34.1;3
147;47.4;62.3;3
148;87.4;53.2;3
149;169.4;59.6;3
150;81.0;13.9;3
151;94.0;74.5;3
152;120.3;170.3;3
153;89.1;198.7;3
154;119.5;5.8;3
155;134.1;99.0;3
156;150.3;118.1;3
157;160.4;121.0;3
158;55.0;80.8;3
159;92.9;3.3;3
160;112.8;53.0;3
161;9.9;17.4;3
162;131.9;182.0;3
163;79.4;39.5;3
164;43.6;40.1;3
165;12.9;78.6;3
166;82.7;132.6;3
167;34.1;9.0;3
168;31.9;128.5;3
169;162.3;14.0;3
170;54.6;118.7;3
171;49.5;139.9;3
172;43.4;37.0;3
173;171.1;97.2;3
174;175.4;133.7;3
175;130.0;112.8;3
176;200.0;59.0;3
177;54.5;115.7;3
178;190.6;198.0;3
179;146.2;134.2;3
180;91.4;65.1;3
181;131.6;11.5;3
182;199.6;136.1;3
183;194.7;23.2;3
184;91.8;138.9;3
185;82.6;55.3;3
186;95.2;128.7;3
187;59.3;170.3;3
188;14.9;145.0;3
189;122.5;123.7;3
190;138.3;40.3;3
191;101.9;170.7;3
192;147.2;107.0;3
193;124.4;57.5;3
194;1.8;19.9;3
195;101.0;163.3;3
196;9.2;122.0;3
197;139.8;57.5;3
198;187.4;40.9;3
199;28.0;172.3;3
200;54.8;24.0;3
201;63.9;139.6;3
202;125.0;195.8;3
203;32.9;89.2;3
204;71.1;17.8;3
205;198.7;156.1;3
206;156.6;135.2;3
207;174.1;28.9;3
208;73.1;8.9;3
209;19.6;155.4;3
210;33.9;143.9;3
211;22.7;80.2;3
212;165.3;174.9;3
213;158.7;179.0;3
214;138.0;199.9;3
215;59.7;142.4;3
216;114.6;144.0;3
217;128.7;141.2;3
218;146.7;175.0;3
219;162.9;50.8;3
220;108.2;38.3;3
221;78.8;71.9;3
222;167.2;79.3;3
223;75.2;105.7;3
224;47.4;7.6;3
225;183.3;188.5;3
226;65.2;102.3;3
227;83.7;82.8;3
228;67.2;176.5;3
229;175.0;75.2;3
230;121.6;134.1;3
231;131.5;98.9;3
232;49.6;196.7;3
233;104.1;30.1;3
234;125.4;166.3;3
235;35.5;32.2;3
236;182.7;85.4;3
237;21.8;140.0;3
238;74.8;79.8;3
239;29.2;45.3;3
240;143.1;124.4;3
241;132.3;60.5;3
242;28.3;76.1;3
243;93.6;66.9;3
244;85.6;126.2;3
245;65.1;151.0;3
246;136.2;197.2;3
247;99.4;18.3;3
248;57.7;142.9;3
249;138.8;72.3;3
250;67.2;56.5;3
251;37.7;177.1;3
252;90.2;142.4;3
253;56.2;184.3;3
254;78.2;134.1;3
255;185.3;190.2;3
256;76.3;81.7;3
257;159.5;89.0;3
258;124.1;165.5;3
259;156.7;39.3;3
260;129.3;114.2;3
261;113.2;169.3;3
262;142.3;94.9;3
263;55.5;109.0;3
264;175.6;174.7;3
265;8.8;38.3;3
266;12.9;166.7;3
267;11.5;178.1;3
268;96.3;192.9;3
269;142.9;45.6;3
270;47.0;113.3;3
271;157.8;145.7;3
272;0.4;166.3;3
273;33.1;193.3;3
274;5.9;81.1;3
275;38.4;141.4;3
276;155.2;74.7;3
277;54.2;152.5;3
278;199.9;96.9;3
279;69.6;195.0;3
280;120.7;170.9;3
281;150.6;99.4;3
282;161.7;175.9;3
283;181.8;110.8;3
284;181.7;149.4;3
285;92.3;193.6;3
286;138.8;115.7;3
287;75.2;197.4;3
288;124.1;62.1;3
289;132.9;132.8;3
290;116.1;16.7;3
291;24.5;104.6;3
292;190.6;83.9;3
293;157.7;24.1;3
294;181.6;46.3;3
295;171.7;49.3;3
296;186.6;70.2;3
297;166.2;186.2;3
298;110.0;31.2;3
299;28.5;73.1;3
300;64.0;154.5;3
301;179.0;146.8;3
302;140.6;94.4;3
303;131.0;87.7;3
304;184.0;79.8;3
305;68.1;84.9;3
306;108.6;122.5;3
307;13.1;163.7;3
308;185.4;98.2;3
309;94.2;31.7;3
310;197.1;91.5;3
311;64.8;13.2;3
312;191.4;158.3;3
313;190.7;75.9;3
314;119.2;146.5;3
315;7.3;78.0;3
316;34.3;78.0;3
317;141.2;105.0;3
318;158.8;88.6;3
319;196.2;87.2;3
320;66.5;85.2;3
321;14.4;36.2;3
322;92.0;180.4;3
323;27.7;86.9;3
324;28.3;40.1;3
325;116.9;123.2;3
326;43.0;32.2;3
327;25.0;69.0;3
328;178.9;54.5;3
329;8.3;170.2;3
330;132.0;119.5;3
331;28.1;84.5;3
332;67.9;153.0;3
333;91.2;18.2;3
334;46.1;159.9;3
335;185.0;88.9;3
336;68.1;184.7;3
337;110.6;76.6;3
338;180.3;82.3;3
339;43.2;185.5;3
340;155.9;42.1;3
341;160.4;110.5;3
342;22.2;135.6;3
343;186.3;162.2;3
344;126.6;82.7;3
345;179.1;46.1;3
346;27.3;101.3;3
347;175.2;151.9;3
348;7.4;31.6;3
349;186.1;98.4;3
350;96.2;13.5;3
351;14.1;47.6;3
352;152.1;189.6;3
353;43.7;46.6;3
354;72.0;19.3;3
355;54.7;11.2;3
356;135.8;12.4;3
357;37.1;16.0;3
358;157.7;112.0;3
359;40.8;160.3;3
360;124.9;93.8;3
361;178.7;81.8;3
362;187.5;198.5;3
363;53.9;20.1;3
364;20.3;49.0;3
365;131.8;75.2;3
366;17.4;104.0;3
367;8.2;190.1;3
368;171.8;173.9;3
369;112.0;192.4;3
370;95.9;68.5;3
371;55.6;176.0;3
372;61.2;182.0;3
373;102.6;196.7;3
374;109.6;55.4;3
375;104.2;55.6;3
376;4.7;108.1;3
377;171.2;192.6;3
378;50.8;156.5;3
379;39.6;83.2;3
380;176.7;60.3;3
381;167.3;134.4;3
382;26.9;121.0;3
383;55.4;174.0;3
384;15.7;55.6;3
385;102.2;0.6;3
386;97.1;51.8;3
387;2.5;23.6;3
388;103.0;105.5;3
389;141.2;134.8;3
390;23.3;130.2;3
391;143.7;198.1;3
392;193.9;192.9;3
393;23.2;52.4;3
394;161.6;5.8;3
395;198.0;78.0;3
396;148.7;1.4;3
397;64.7;120.7;3
398;107.1;0.6;3
399;14.7;197.7;3
400;9.4;114.3;3
401;11.1;83.1;3
402;6.7;0.7;3
403;40.2;121.6;3
404;27.1;198.2;3
405;53.2;42.6;3
406;139.7;141.6;3
407;123.8;66.5;3
408;109.5;173.5;3
409;66.6;89.7;3
410;93.9;176.9;3
411;148.3;127.9;3
412;184.0;149.9;3
413;166.8;148.5;3
414;196.5;48.8;3
415;127.0;57.7;3
416;151.6;52.7;3
417;176.8;153.9;3
418;113.6;169.4;3
419;8.7;24.3;3
420;176.2;100.9;3
421;51.8;18.0;3
422;83.5;2.2;3
423;167.1;114.9;3
424;1.4;13.1;3
425;78.3;164.4;3
426;41.3;85.6;3
427;142.5;30.2;3
428;115.5;65.9;3
429;85.5;159.0;3
430;162.3;2.7;3
431;194.0;1.6;3
432;83.4;189.6;3
433;138.8;154.8;3
434;56.7;58.7;3
435;26.4;43.9;3
436;91.4;0.3;3
437;101.4;80.1;3
438;127.2;12.8;3
439;149.2;174.9;3
440;6.7;11.9;3
441;96.3;30.2;3
442;134.9;110.0;3
443;191.8;90.8;3
444;140.2;120.2;3
445;140.6;156.6;3
446;33.9;51.0;3
447;94.1;36.1;3
448;128.4;42.2;3
449;118.3;51.9;3
450;50.1;49.6;3
451;126.0;102.7;3
452;75.3;198.9;3
453;98.7;192.2;3
454;137.6;174.0;3
455;68.4;52.0;3
456;153.2;107.9;3
457;77.5;124.0;3
458;132.3;137.0;3
459;160.8;116.7;3
460;66.9;37.2;3
461;157.2;166.7;3
462;133.8;197.8;3
463;137.4;94.2;3
464;63.7;98.8;3
465;199.6;188.0;3
466;178.2;46.6;3
467;145.3;24.7;3
468;85.5;116.9;3
469;18.1;181.3;3
470;80.2;3.9;3
471;117.0;86.3;3
472;32.1;39.0;3
473;13.4;16.4;3
474;18.7;105.9;3
475;130.0;115.4;3
476;168.1;82.0;3
477;3.5;195.5;3
478;200.0;77.7;3
479;180.3;198.6;3
480;171.8;67.6;3
481;191.8;140.8;3
482;169.4;180.9;3
483;195.8;62.5;3
484;151.4;147.6;3
485;172.0;14.6;3
486;52.7;59.9;3
487;70.8;183.9;3
488;27.8;183.4;3
489;114.0;98.6;3
490;89.5;85.7;3
491;181.9;135.2;3
492;147.1;132.1;3
493;8.2;128.0;3
494;8.9;176.3;3
495;71.8;158.0;3
496;145.2;169.4;3
497;116.4;110.9;3
498;20.2;141.2;3
499;11.1;142.6;3
500;47.3;168.9;3
501;24.2;158.4;3
502;47.7;2.0;3
503;192.7;87.1;3
504;190.8;95.6;3
505;91.5;115.3;3
506;92.5;162.5;3
507;104.0;12.4;3
508;148.6;172.8;3
509;78.6;187.1;3
510;129.0;154.1;3
511;199.0;72.6;3
512;189.0;159.7;3
513;83.2;30.4;3
514;149.2;68.2;3
515;39.2;10.5;3
516;61.5;88.6;3
517;4.0;53.7;3
518;191.9;89.9;3
519;57.9;33.7;3
520;169.8;20.4;3
521;197.5;167.3;3
522;197.6;87.2;3
523;162.8;66.3;3
524;8.9;47.3;3
525;97.8;8.3;3
526;52.1;112.3;3
527;109.6;65.6;3
528;26.8;54.6;3
529;122.4;95.4;3
530;111.9;81.7;3
531;71.6;76.5;3
532;125.7;10.0;3
533;9.8;190.7;3
534;164.8;161.3;3
535;12.8;84.6;3
536;196.2;170.3;3
537;19.6;168.7;3
538;139.8;44.5;3
539;71.6;22.2;3
540;173.1;17.1;3
541;175.1;177.2;3
542;190.4;99.8;3
543;188.7;2.0;3
544;182.4;162.1;3
545;107.2;42.7;3
546;130.0;77.3;3
547;149.6;113.5;3
548;115.2;186.8;3
549;45.2;73.3;3
550;28.0;11.9;3
551;194.6;0.0;3
552;174.5;50.5;3
553;20.6;136.2;3
554;65.2;13.2;3
555;157.2;63.3;3
556;35.6;173.7;3
557;60.5;64.0;3
558;15.3;6.2;3
559;21.8;155.8;3
560;189.9;119.1;3
561;133.1;161.3;3
562;30.6;59.9;3
563;140.1;5.6;3
564;58.5;98.9;3
565;34.0;101.6;3
566;67.6;83.1;3
567;122.6;12.0;3
568;154.7;92.0;3
569;0.4;77.9;3
570;63.5;119.5;3
571;51.5;156.0;3
572;30.2;183.6;3
573;121.7;197.1;3
574;67.4;11.4;3
575;59.3;91.3;3
576;18.5;168.3;3
577;36.5;61.4;3
578;29.7;61.0;3
579;39.5;111.7;3
580;19.1;137.3;3
581;185.9;55.7;3
582;169.9;195.9;3
583;16.8;3.2;3
584;44.8;141.9;3
585;180.6;182.9;3
586;16.8;10.7;3
587;136.4;74.4;3
588;112.5;177.4;3
589;54.3;136.5;3
590;39.8;167.7;3
591;119.1;199.7;3
592;48.3;99.4;3
593;93.7;158.6;3
594;39.9;11.6;3
595;134.8;157.2;3
596;79.9;52.0;3
597;100.7;89.0;3
598;16.1;123.6;3
599;183.4;145.4;3
600;31.7;199.1;3
601;120.6;68.5;3
602;48.5;166.4;3
603;66.4;10.1;3
604;175.4;51.2;3
605;86.0;46.8;3
606;169.3;137.9;3
607;199.1;137.9;3
608;19.4;135.7;3
609;45.8;70.7;3
610;119.6;133.2;3
611;84.8;124.4;3
612;119.0;19.3;3
613;5.3;65.4;3
614;3.2;27.7;3
615;55.6;122.5;3
616;125.7;51.7;3
617;185.8;176.9;3
618;147.3;5.6;3
619;177.9;81.3;3
620;70.5;142.6;3
621;188.7;108.2;3
622;60.8;173.7;3
623;33.6;49.0;3
624;149.2;176.8;3
625;87.1;162.9;3
626;163.1;99.8;3
627;123.2;40.0;3
628;196.7;191.8;3
629;86.7;89.1;3
630;38.4;124.2;3
631;75.2;171.1;3
632;118.1;87.9;3
633;129.6;35.6;3
634;42.5;199.7;3
635;114.7;180.3;3
636;115.6;100.8;3
637;148.9;140.7;3
638;38.9;3.7;3
639;64.9;195.5;3
640;148.4;6.2;3
641;8.7;146.2;3
642;185.5;173.2;3
643;92.9;45.0;3
644;17.1;92.7;3
645;41.4;175.1;3
646;71.5;13.5;3
647;72.5;0.6;3
648;48.2;194.4;3
649;70.0;166.3;3
650;75.8;100.6;3
651;190.5;146.8;3
652;39.1;117.5;3
653;1.9;8.4;3
654;95.1;161.2;3
655;185.1;55.9;3
656;33.6;172.6;3
657;90.9;103.0;3
658;117.4;85.1;3
659;138.7;164.2;3
660;128.0;124.7;3
661;91.1;142.6;3
662;109.7;115.0;3
663;5.1;147.7;3
664;38.3;166.2;3
665;96.6;88.4;3
666;23.4;40.9;3
667;134.7;40.1;3
668;115.1;12.9;3
669;187.7;139.7;3
670;147.7;83.6;3
671;188.1;178.8;3
672;53.9;71.8;3
673;30.4;19.4;3
674;30.9;133.0;3
675;67.2;197.9;3
676;128.3;53.4;3
677;129.0;111.0;3
678;138.6;116.3;3
679;19.3;16.7;3
680;197.2;24.3;3
681;163.7;1.5;3
682;164.6;151.5;3
683;172.7;166.6;3
684;125.5;95.2;3
685;5.1;159.6;3
686;55.9;35.8;3
687;198.4;6.5;3
688;22.1;189.7;3
689;124.6;109.9;3
690;193.5;147.2;3
691;45.3;128.5;3
692;157.2;115.6;3
693;44.7;81.4;3
694;190.6;139.5;3
695;54.9;105.2;3
696;6.1;186.5;3
697;154.8;96.9;3
698;109.3;24.6;3
699;60.3;195.2;3
700;176.9;159.3;3
701;72.6;163.7;3
702;142.0;22.7;3
703;88.1;7.8;3
704;51.4;98.4;3
705;25.3;153.7;3
706;31.0;133.5;3
707;160.5;133.3;3
708;183.0;155.8;3
709;9.9;170.7;3
710;140.8;82.0;3
711;40.2;181.4;3
712;48.6;178.5;3
713;182.3;29.3;3
714;128.9;148.5;3
715;79.2;197.9;3
716;85.1;5.7;3
717;3.7;163.0;3
718;49.7;89.1;3
719;8.9;38.6;3
720;108.3;51.2;3
721;27.1;41.8;3
722;113.9;99.5;3
723;154.4;52.8;3
724;7.2;2.7;3
725;132.9;6.5;3
726;35.1;142.3;3
727;126.5;29.3;3
728;177.2;137.1;3
729;92.3;78.1;3
730;148.6;146.9;3
731;100.1;96.8;3
732;171.0;38.8;3
733;174.1;157.9;3
734;99.8;8.7;3
735;143.1;198.4;3
736;83.3;86.9;3
737;169.2;161.6;3
738;19.1;153.8;3
739;135.6;61.4;3
740;128.6;128.2;3
741;131.3;86.8;3
742;8.7;175.2;3
743;58.6;14.5;3
744;72.1;16.2;3
745;73.6;6.6;3
746;132.2;154.6;3
747;23.6;3.8;3
748;42.4;61.8;3
749;19.6;170.7;3
750;197.6;110.0;3
751;137.9;59.1;3
752;112.3;37.9;3
753;82.0;42.0;3
754;188.8;155.0;3
755;178.5;106.0;3
756;43.8;126.6;3
757;187.3;107.1;3
758;54.7;8.4;3
759;107.9;61.1;3
760;191.8;85.8;3
761;90.4;61.7;3
762;91.4;18.9;3
763;178.0;91.0;3
764;194.0;129.2;3
765;100.1;14.5;3
766;163.7;19.7;3
767;171.0;176.5;3
768;74.2;14.2;3
769;199.7;87.4;3
770;92.0;115.9;3
771;61.0;180.6;3
772;199.1;93.5;3
773;130.0;144.9;3
774;69.7;52.2;3
775;186.4;198.3;3
776;172.1;64.6;3
777;134.4;102.5;3
778;117.5;178.8;3
779;165.1;107.2;3
780;130.3;29.2;3
781;91.3;63.5;3
782;102.4;148.6;3
783;84.1;106.8;3
784;2.2;176.0;3
785;41.8;6.7;3
786;168.8;80.4;3
787;145.2;143.3;3
788;35.6;4.9;3
789;52.3;109.9;3
790;118.1;178.8;3
791;176.4;192.7;3
792;146.7;131.5;3
793;34.5;57.7;3
794;38.4;83.6;3
795;110.0;88.7;3
796;44.6;152.3;3
797;114.4;142.5;3
798;116.1;149.9;3
799;130.8;154.9;3
800;194.5;59.0;3
801;158.4;95.8;3
802;49.9;99.4;3
803;18.4;96.9;3
804;182.6;7.4;3
805;55.7;55.4;3
806;107.2;27.2;3
807;66.9;161.2;3
808;21.3;159.5;3
809;53.8;162.8;3
810;161.8;81.1;3
811;83.4;10.2;3
812;53.4;59.2;3
813;62.2;100.6;3
814;179.3;101.7;3
815;111.0;19.3;3
816;73.4;14.9;3
817;62.6;163.4;3
818;93.7;131.3;3
819;147.2;111.7;3
820;50.7;60.4;3
821;41.2;115.5;3
822;9.2;164.7;3
823;58.5;59.9;3
824;13.5;8.1;3
825;56.1;1.2;3
826;81.5;79.6;3
827;117.7;72.9;3
828;185.6;38.3;3
829;121.8;104.8;3
830;60.4;188.9;3
831;152.1;38.5;3
832;66.3;24.7;3
833;146.7;48.4;3
834;121.9;3.5;3
835;22.9;143.7;3
836;73.6;182.9;3
837;149.4;91.3;3
838;130.2;146.5;3
839;120.9;188.8;3
840;104.5;180.6;3
841;160.2;129.8;3
842;168.7;112.6;3
843;118.9;85.6;3
844;115.5;63.3;3
845;150.1;105.8;3
846;135.0;37.7;3
847;66.6;122.9;3
848;74.3;41.7;3
849;72.1;48.8;3
850;199.4;177.1;3
851;63.4;60.6;3
852;5.7;128.5;3
853;145.2;148.1;3
854;146.1;82.1;3
855;199.2;52.5;3
856;55.7;73.7;3
857;193.9;127.6;3
858;80.4;58.2;3
859;184.1;5.9;3
860;188.2;199.5;3
861;140.8;67.2;3
862;58.4;180.4;3
863;153.3;20.0;3
864;122.5;4.6;3
865;141.6;155.1;3
866;105.7;103.8;3
867;151.2;116.4;3
868;194.1;171.9;3
869;141.6;29.6;3
870;150.1;59.6;3
871;138.6;152.1;3
872;195.9;28.1;3
873;146.6;58.9;3
874;52.0;29.2;3
875;67.4;165.6;3
876;164.7;37.0;3
877;98.8;59.5;3
878;184.8;158.6;3
879;122.1;141.5;3
880;75.8;94.5;3
881;172.9;123.4;3
882;112.0;178.2;3
883;105.5;175.0;3
884;76.0;133.8;3
885;149.1;19.2;3
886;159.1;169.8;3
887;27.7;61.4;3
888;103.7;60.6;3
889;150.9;80.9;3
890;51.9;103.4;3
891;174.8;95.8;3
892;106.0;86.2;3
893;41.0;131.0;3
894;75.6;179.6;3
895;57.5;2.7;3
896;74.5;26.8;3
897;40.4;99.7;3
898;4.7;24.3;3
899;99.6;56.5;3
900;60.8;43.7;3
901;127.5;199.8;3
902;36.6;45.5;3
903;197.2;79.7;3
904;46.3;71.9;3
905;88.8;168.0;3
906;64.4;91.8;3
907;94.2;170.9;3
908;31.8;152.6;3
909;48.7;64.3;3
910;188.4;28.9;3
911;174.2;147.2;3
912;39.4;172.4;3
913;79.3;42.9;3
914;77.9;64.5;3
915;5.8;38.9;3
916;99.8;108.9;3
917;146.2;62.6;3
918;44.8;171.1;3
919;108.4;63.0;3
920;153.1;93.8;3
921;91.9;44.5;3
922;127.6;52.1;3
923;145.8;134.7;3
924;150.6;152.6;3
925;31.2;127.8;3
926;58.7;164.6;3
927;147.1;73.9;3
928;136.8;195.9;3
929;153.0;75.1;3
930;32.9;19.9;3
931;22.1;156.6;3
932;194.3;42.5;3
933;112.2;56.4;3
934;133.9;47.8;3
935;75.2;138.9;3
936;116.7;7.0;3
937;34.2;197.3;3
938;98.9;163.6;3
939;119.1;69.2;3
940;135.0;10.5;3
941;22.3;167.1;3
942;145.3;156.2;3
943;138.4;181.2;3
944;4.5;5.5;3
945;66.7;4.0;3
946;8.7;150.1;3
947;56.7;120.4;3
948;22.0;78.5;3
949;168.5;167.3;3
950;103.7;100.3;3
951;11.5;189.5;3
952;165.7;36.2;3
953;62.5;137.5;3
954;154.4;87.9;3
955;100.6;19.2;3
956;9.8;164.4;3
957;196.1;10.3;3
958;75.9;5.7;3
959;186.0;168.7;3
960;2.1;169.4;3
961;163.5;26.9;3
962;196.2;139.1;3
963;186.7;17.6;3
964;45.8;147.0;3
965;64.1;199.7;3
966;106.3;10.0;3
967;95.1;176.6;3
968;108.1;180.9;3
969;163.0;77.1;3
970;125.3;56.7;3
971;161.3;63.3;3
972;9.8;76.2;3
973;125.0;55.1;3
974;8.8;30.3;3
975;149.8;94.7;3
976;67.7;138.1;3
977;113.9;36.4;3
978;106.3;193.7;3
979;167.4;105.0;3
980;173.8;42.0;3
981;0.9;135.7;3
982;21.0;159.6;3
983;13.5;157.8;3
984;18.0;49.9;3
985;184.6;62.9;3
986;84.6;104.5;3
987;47.7;10.9;3
988;102.3;30.0;3
989;49.7;165.0;3
990;163.8;78.6;3
991;190.0;38.8;3
992;7.4;18.5;3
993;88.2;103.6;3
994;159.5;157.3;3
995;5.2;25.6;3
996;59.9;166.4;3
997;128.3;75.7;3
998;51.5;155.4;3
999;31.5;13.8;3
1000;92.1;59.4;3
