id;Arus (Ampere);Tegangan (Volt);gardu
335;127.5;60.2;2
336;127.2;16.0;2
337;93.9;181.7;2
338;59.7;187.1;2
339;73.7;52.2;2
340;160.7;116.0;2
341;75.1;54.1;2
342;96.0;13.9;2
343;102.7;145.6;2
344;136.1;198.4;2
345;51.0;75.3;2
346;104.1;158.5;2
347;51.0;154.5;2
348;43.0;161.4;2
349;36.5;18.6;2
350;185.4;5.2;2
351;18.7;176.2;2
352;36.6;196.3;2
353;3.8;19.8;2
354;159.7;156.9;2
355;45.9;38.9;2
356;172.9;193.3;2
357;99.8;93.9;2
358;64.2;135.1;2
359;176.2;120.1;2
360;197.7;117.8;2
361;83.0;99.0;2
362;193.5;89.3;2
363;66.6;37.4;2
364;51.0;108.1;2
365;15.7;16.8;2
366;65.9;43.5;2
367;18.2;128.3;2
368;31.7;182.5;2
369;72.9;182.9;2
370;65.4;162.2;2
371;65.4;144.1;2
372;189.6;57.7;2
373;111.9;118.5;2
374;59.3;183.6;2
375;70.8;30.6;2
376;129.6;137.8;2
377;34.0;149.8;2
378;162.2;140.9;2
379;164.8;43.9;2
380;133.6;101.0;2
381;105.8;173.9;2
382;157.4;34.1;2
383;176.5;80.7;2
384;137.2;191.1;2
385;114.6;3.9;2
386;72.9;57.6;2
387;65.4;11.1;2
388;143.5;186.0;2
389;88.7;182.7;2
390;73.9;166.0;2
391;31.4;51.2;2
392;147.7;34.1;2
393;154.8;66.5;2
394;64.9;171.2;2
395;151.3;175.4;2
396;82.1;75.2;2
397;142.2;190.5;2
398;70.2;133.7;2
399;187.7;66.0;2
400;51.6;126.5;2
401;133.3;176.4;2
402;128.0;185.5;2
403;76.1;139.1;2
404;194.5;162.3;2
405;14.5;22.2;2
406;158.3;119.5;2
407;188.4;114.9;2
408;97.2;147.4;2
409;75.4;66.5;2
410;168.0;159.9;2
411;37.6;85.0;2
412;50.7;111.8;2
413;134.0;91.3;2
414;133.4;166.1;2
415;136.0;181.1;2
416;80.7;129.4;2
417;121.2;38.6;2
418;50.1;86.6;2
419;66.1;164.9;2
420;76.6;187.1;2
421;119.3;184.6;2
422;154.1;137.5;2
423;117.3;60.9;2
424;152.1;65.6;2
425;65.4;124.0;2
426;173.4;65.9;2
427;30.0;108.4;2
428;88.1;80.7;2
429;13.6;90.6;2
430;73.9;85.3;2
431;116.9;154.3;2
432;86.0;114.3;2
433;50.4;92.3;2
434;165.8;81.8;2
435;70.7;119.6;2
436;111.4;63.1;2
437;113.3;77.8;2
438;65.5;85.8;2
439;172.1;131.0;2
440;14.1;106.1;2
441;83.4;68.9;2
442;128.8;31.9;2
443;6.0;84.9;2
444;144.9;156.2;2
445;10.3;119.6;2
446;82.6;121.0;2
447;57.4;58.2;2
448;103.6;165.5;2
449;5.1;8.0;2
450;43.8;185.7;2
451;22.6;104.2;2
452;55.2;0.8;2
453;12.8;164.1;2
454;62.9;162.8;2
455;66.0;95.8;2
456;122.3;153.1;2
457;10.4;168.0;2
458;16.6;151.4;2
459;120.7;95.8;2
460;79.0;97.2;2
461;43.6;40.7;2
462;50.8;153.9;2
463;199.2;23.2;2
464;130.3;28.8;2
465;98.6;165.4;2
466;168.7;3.5;2
467;39.5;4.3;2
468;192.9;54.3;2
469;143.6;29.3;2
470;186.2;171.5;2
471;146.8;167.2;2
472;47.3;21.2;2
473;85.6;2.9;2
474;90.6;130.7;2
475;123.8;31.0;2
476;199.5;179.7;2
477;63.1;154.9;2
478;165.5;45.3;2
479;194.0;198.5;2
480;45.5;195.2;2
481;85.3;145.0;2
482;168.2;130.3;2
483;102.9;93.7;2
484;7.3;133.8;2
485;40.9;195.3;2
486;13.7;131.8;2
487;157.2;196.0;2
488;143.7;194.5;2
489;122.5;7.7;2
490;20.2;184.9;2
491;97.4;38.7;2
492;19.1;199.2;2
493;65.8;191.4;2
494;106.3;87.4;2
495;33.6;101.3;2
496;72.3;195.9;2
497;182.8;130.8;2
498;183.9;38.4;2
499;199.1;92.1;2
500;22.5;44.8;2
501;51.1;109.6;2
502;125.1;71.2;2
503;126.5;62.2;2
504;106.0;131.7;2
505;47.7;13.3;2
506;142.5;149.7;2
507;41.3;30.9;2
508;176.8;165.9;2
509;35.6;135.9;2
510;117.7;8.5;2
511;189.9;52.7;2
512;8.7;181.7;2
513;136.4;62.4;2
514;71.5;74.7;2
515;195.2;189.5;2
516;85.6;105.0;2
517;1.0;8.7;2
518;43.3;80.6;2
519;17.4;90.4;2
520;125.6;146.2;2
521;181.0;185.8;2
522;64.7;157.6;2
523;84.6;45.1;2
524;154.8;185.0;2
525;123.4;146.9;2
526;132.5;111.9;2
527;154.4;153.2;2
528;124.9;82.1;2
529;35.0;127.0;2
530;86.8;186.7;2
531;31.6;49.5;2
532;137.3;46.9;2
533;57.8;59.8;2
534;90.5;106.9;2
535;72.5;81.0;2
536;158.0;51.7;2
537;72.2;167.2;2
538;126.1;159.7;2
539;190.1;26.0;2
540;122.3;40.2;2
541;126.4;193.1;2
542;139.3;99.8;2
543;89.8;49.5;2
544;143.2;22.4;2
545;26.6;23.8;2
546;83.8;50.6;2
547;105.2;34.2;2
548;195.0;73.5;2
549;99.3;5.3;2
550;98.8;183.1;2
551;88.5;101.0;2
552;57.7;166.7;2
553;37.8;117.7;2
554;156.4;90.1;2
555;195.2;125.1;2
556;24.6;20.7;2
557;19.7;134.7;2
558;118.7;163.6;2
559;193.0;116.6;2
560;72.9;33.1;2
561;165.4;191.7;2
562;165.4;87.1;2
563;78.9;178.3;2
564;77.7;28.0;2
565;104.6;182.2;2
566;131.7;164.7;2
567;138.6;122.5;2
568;12.2;189.6;2
569;97.7;103.7;2
570;38.8;134.2;2
571;109.3;171.6;2
572;132.7;98.2;2
573;68.4;160.2;2
574;96.9;50.1;2
575;67.8;134.9;2
576;46.8;94.1;2
577;42.1;128.9;2
578;83.0;182.5;2
579;197.7;41.5;2
580;78.6;192.6;2
581;117.4;126.6;2
582;148.0;155.8;2
583;168.8;106.7;2
584;83.2;20.1;2
585;96.6;146.2;2
586;28.4;187.4;2
587;21.8;176.3;2
588;87.4;42.9;2
589;181.5;118.6;2
590;112.1;167.8;2
591;40.6;44.6;2
592;158.1;104.8;2
593;108.8;72.8;2
594;31.7;97.1;2
595;142.9;195.2;2
596;118.6;98.4;2
597;139.5;136.5;2
598;96.3;5.2;2
599;20.5;180.9;2
600;58.8;160.5;2
601;105.1;39.2;2
602;199.7;95.9;2
603;59.9;147.5;2
604;129.8;60.2;2
605;70.3;2.3;2
606;47.9;183.7;2
607;46.4;47.4;2
608;8.2;86.8;2
609;121.8;199.6;2
610;55.9;45.2;2
611;52.8;109.6;2
612;90.6;59.0;2
613;180.2;37.1;2
614;50.0;41.9;2
615;53.6;97.1;2
616;1.8;109.5;2
617;163.0;165.9;2
618;184.6;56.6;2
619;27.7;173.9;2
620;55.9;161.0;2
621;69.8;18.4;2
622;47.3;171.1;2
623;21.8;47.7;2
624;149.5;36.9;2
625;9.2;85.2;2
626;121.7;38.3;2
627;38.2;99.2;2
628;113.3;171.7;2
629;95.3;45.0;2
630;173.6;141.1;2
631;12.0;146.7;2
632;88.9;76.6;2
633;71.4;52.9;2
634;171.4;7.6;2
635;47.1;128.1;2
636;41.2;21.1;2
637;191.9;141.9;2
638;164.8;158.3;2
639;185.3;113.2;2
640;34.5;51.9;2
641;84.1;57.1;2
642;194.9;34.9;2
643;4.9;103.7;2
644;55.7;131.3;2
645;98.6;108.3;2
646;111.1;74.0;2
647;16.8;92.7;2
648;171.4;74.9;2
649;181.3;91.1;2
650;5.8;160.6;2
651;70.2;177.4;2
652;192.3;113.2;2
653;193.2;22.8;2
654;137.4;56.9;2
655;122.5;54.5;2
656;13.6;0.1;2
657;182.0;128.7;2
658;147.2;52.6;2
659;112.8;184.5;2
660;37.2;164.0;2
661;52.6;168.9;2
662;25.6;6.2;2
663;104.8;127.9;2
664;168.9;27.2;2
665;41.9;168.0;2
666;179.6;121.3;2
667;180.0;129.4;2
668;160.8;134.6;2
669;91.0;92.7;2
670;91.7;168.3;2
671;5.2;48.1;2
672;116.8;139.1;2
673;10.8;137.3;2
674;175.8;10.8;2
675;86.4;150.6;2
676;163.1;129.9;2
677;190.0;44.2;2
678;74.3;90.4;2
679;118.0;108.0;2
680;106.3;164.0;2
681;90.8;20.6;2
682;89.3;104.1;2
683;45.6;163.2;2
684;111.3;189.4;2
685;116.9;106.3;2
686;36.0;185.9;2
687;89.5;6.6;2
688;54.7;141.6;2
689;73.0;150.1;2
690;164.7;107.3;2
691;189.9;198.8;2
692;115.9;48.2;2
693;34.9;69.5;2
694;145.8;154.5;2
695;126.4;160.6;2
696;143.9;16.5;2
697;72.4;57.3;2
698;155.6;151.9;2
699;84.6;29.1;2
700;17.5;22.8;2
701;182.7;32.5;2
702;11.5;21.4;2
703;125.6;47.7;2
704;3.9;86.4;2
705;98.8;61.0;2
706;130.4;144.7;2
707;178.4;49.2;2
708;61.6;83.9;2
709;26.1;109.6;2
710;178.5;37.5;2
711;126.1;10.0;2
712;137.2;139.0;2
713;193.2;108.4;2
714;88.3;90.1;2
715;105.1;7.6;2
716;117.5;134.7;2
717;15.0;141.8;2
718;187.7;100.8;2
719;172.4;87.1;2
720;149.1;31.0;2
721;54.3;51.4;2
722;6.2;108.2;2
723;33.2;76.7;2
724;150.5;96.8;2
725;10.4;48.4;2
726;8.1;177.0;2
727;143.6;114.0;2
728;171.9;69.1;2
729;104.8;153.2;2
730;95.5;183.6;2
731;64.8;92.0;2
732;53.1;155.0;2
733;112.3;111.7;2
734;149.1;121.1;2
735;174.9;12.2;2
736;139.6;128.6;2
737;171.1;37.8;2
738;122.6;199.6;2
739;26.2;42.4;2
740;111.0;50.4;2
741;16.5;34.9;2
742;183.5;37.1;2
743;143.2;146.9;2
744;131.2;182.8;2
745;46.0;197.6;2
746;187.9;15.7;2
747;47.9;75.8;2
748;35.0;176.0;2
749;190.9;137.0;2
750;164.5;9.5;2
751;2.2;115.5;2
752;63.1;84.5;2
753;103.8;104.5;2
754;115.4;54.0;2
755;133.5;40.8;2
756;172.1;120.4;2
757;154.8;51.8;2
758;93.0;62.2;2
759;68.2;25.7;2
760;186.0;184.2;2
761;17.6;93.7;2
762;125.8;179.8;2
763;53.0;163.9;2
764;121.3;179.4;2
765;158.4;144.0;2
766;118.5;176.4;2
767;177.9;96.3;2
768;89.4;173.1;2
769;101.4;81.5;2
770;106.3;118.9;2
771;39.8;91.8;2
772;169.8;159.7;2
773;48.3;113.9;2
774;51.7;22.5;2
775;61.0;100.4;2
776;41.5;81.0;2
777;68.8;118.2;2
778;4.3;196.7;2
779;99.3;194.7;2
780;132.7;165.0;2
781;26.2;40.3;2
782;101.2;88.3;2
783;165.8;108.8;2
784;141.7;8.9;2
785;141.6;188.9;2
786;129.6;63.4;2
787;6.7;8.4;2
788;47.0;113.2;2
789;42.5;198.0;2
790;190.3;186.6;2
791;154.0;57.9;2
792;121.5;144.0;2
793;3.8;124.0;2
794;91.5;92.6;2
795;113.1;37.0;2
796;68.4;24.4;2
797;103.7;109.8;2
798;136.7;134.2;2
799;48.1;105.4;2
800;112.6;109.5;2
801;80.6;86.1;2
802;58.2;11.3;2
803;47.0;158.5;2
804;79.4;49.7;2
805;170.5;120.8;2
806;116.6;36.9;2
807;171.7;146.8;2
808;34.5;60.1;2
809;92.1;10.2;2
810;41.1;144.8;2
811;31.9;188.5;2
812;72.5;67.3;2
813;70.7;85.7;2
814;23.8;42.5;2
815;82.0;105.7;2
816;110.7;154.7;2
817;189.5;79.5;2
818;103.6;35.0;2
819;43.1;173.5;2
820;114.2;14.1;2
821;30.7;155.9;2
822;182.0;101.5;2
823;101.0;131.4;2
824;140.5;92.2;2
825;20.5;14.9;2
826;170.7;193.2;2
827;9.0;158.6;2
828;121.6;41.4;2
829;48.1;169.6;2
830;145.1;183.5;2
831;158.5;124.6;2
832;76.1;8.0;2
833;157.6;164.3;2
834;122.0;170.9;2
835;89.3;79.9;2
836;198.8;145.9;2
837;27.0;170.2;2
838;2.4;9.6;2
839;86.2;149.0;2
840;152.1;86.2;2
841;12.9;26.3;2
842;174.6;153.5;2
843;115.8;115.1;2
844;110.7;61.0;2
845;66.9;30.8;2
846;85.7;17.2;2
847;51.7;187.4;2
848;175.3;47.4;2
849;8.3;162.9;2
850;115.3;109.9;2
851;144.6;187.0;2
852;166.7;15.6;2
853;112.2;183.4;2
854;21.2;3.9;2
855;108.7;136.2;2
856;191.1;74.5;2
857;54.7;129.7;2
858;45.8;119.4;2
859;156.7;82.9;2
860;184.4;185.5;2
861;30.7;100.5;2
862;140.3;149.0;2
863;181.2;168.5;2
864;185.2;144.7;2
865;165.2;115.9;2
866;34.6;67.8;2
867;72.0;33.4;2
868;156.9;177.6;2
869;16.0;85.1;2
870;123.5;168.9;2
871;146.3;99.6;2
872;36.3;196.6;2
873;180.4;130.7;2
874;119.2;115.0;2
875;18.4;95.8;2
876;45.6;181.3;2
877;156.9;32.4;2
878;22.5;79.3;2
879;129.9;16.3;2
880;11.6;87.2;2
881;59.2;16.9;2
882;141.0;182.9;2
883;50.5;101.5;2
884;124.6;157.3;2
885;26.4;139.8;2
886;177.3;173.7;2
887;24.0;139.5;2
888;178.2;119.8;2
889;103.4;141.3;2
890;25.4;93.5;2
891;169.2;0.7;2
892;156.7;62.4;2
893;36.3;90.2;2
894;15.4;171.5;2
895;99.7;184.0;2
896;16.6;19.2;2
897;40.1;138.3;2
898;175.8;100.4;2
899;145.3;121.0;2
900;75.8;104.5;2
901;191.9;113.1;2
902;6.3;104.6;2
903;109.8;197.8;2
904;87.7;70.3;2
905;120.8;192.5;2
906;104.9;12.2;2
907;192.1;133.8;2
908;72.8;114.7;2
909;21.8;107.6;2
910;182.7;98.1;2
911;75.0;99.2;2
912;37.1;31.6;2
913;57.0;164.2;2
914;195.6;82.2;2
915;93.0;167.0;2
916;66.3;6.5;2
917;58.3;101.4;2
918;101.1;112.8;2
919;68.7;3.2;2
920;138.3;91.3;2
921;12.0;190.1;2
922;142.9;187.9;2
923;64.8;65.7;2
924;129.0;128.7;2
925;48.3;152.1;2
926;114.2;163.1;2
927;112.8;120.0;2
928;59.9;42.3;2
929;198.6;99.9;2
930;67.6;108.0;2
931;150.4;182.2;2
932;177.7;169.4;2
933;69.8;167.9;2
934;58.9;164.0;2
935;177.4;78.9;2
936;11.8;158.2;2
937;86.9;120.6;2
938;171.3;199.7;2
939;139.0;173.9;2
940;87.7;193.4;2
941;30.9;3.0;2
942;101.7;15.3;2
943;95.5;99.5;2
944;71.9;63.7;2
945;50.4;193.5;2
946;94.3;32.9;2
947;56.9;101.1;2
948;63.0;76.4;2
949;158.1;105.1;2
950;148.9;155.1;2
951;194.7;107.7;2
952;107.3;83.4;2
953;60.5;141.1;2
954;111.1;31.7;2
955;150.1;75.4;2
956;129.9;189.7;2
957;34.4;160.3;2
958;37.0;150.8;2
959;40.7;133.6;2
960;198.0;61.8;2
961;168.5;18.6;2
962;90.2;113.1;2
963;165.3;167.7;2
964;11.4;5.9;2
965;69.8;194.7;2
966;192.9;5.4;2
967;59.3;149.9;2
968;76.0;157.5;2
969;187.2;67.5;2
970;198.4;169.1;2
971;191.0;116.8;2
972;119.1;125.4;2
973;133.6;2.5;2
974;154.1;164.4;2
975;92.6;149.4;2
976;135.9;62.3;2
977;158.9;12.4;2
978;46.2;36.6;2
979;193.0;197.8;2
980;9.7;195.3;2
981;63.8;84.9;2
982;19.4;184.7;2
983;34.5;28.5;2
984;194.3;40.9;2
985;147.0;121.2;2
986;103.0;45.9;2
987;182.6;89.9;2
988;128.8;79.9;2
989;82.8;33.8;2
990;116.6;100.8;2
991;134.9;71.7;2
992;100.5;163.3;2
993;180.0;29.6;2
994;10.8;186.2;2
995;157.2;189.0;2
996;108.5;40.3;2
997;26.3;105.5;2
998;120.0;11.6;2
999;42.7;185.2;2
1000;13.2;45.2;2
